Date,Holiday Name,Information,Jurisdiction
20231226,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,Queensland
20230101,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,South Australia
20230102,New Year's Day (observed),"As 1 January 2023 falls on a Saturday in 2023, the following Monday is observed as an additional public holiday.",South Australia
20230126,Australia Day,Always celebrated on 26 January,South Australia
20230313,Adelaide Cup Day,"The Holidays Act 1910 provides for the third Monday in May to be a public holiday, through the issuing of a special Proclamation by the Governor.",South Australia
20230407,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,South Australia
20230408,Easter Saturday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,South Australia
20230410,Easter Monday,Public Holiday as part of Easter.,South Australia
20230425,Anzac Day,Celebrated on the 25 April each year.,South Australia
20230612,King’s Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,South Australia
20231002,Labour Day,Always on a Monday creating a long weekend. It celebrates the eight-hour working day a victory for workers in the mid-late 19th century.,South Australia
20231224,Christmas Eve,7pm to midnight,South Australia
20231225,Christmas Day ,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,South Australia
20231226,Boxing Day / Proclamation Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,South Australia
20231231,New Year's Eve,7pm to midnight,South Australia
20230101,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,Tasmania
20230102,New Year's Day (observed),"As 1 January 2023 falls on a Saturday in 2023, the following Monday is observed as an additional public holiday.",Tasmania
20230126,Australia Day,Always celebrated on 26 January,Tasmania
20230313,Eight Hours Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",Tasmania
20230407,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,Tasmania
20230410,Easter Monday,Public Holiday as part of Easter.,Tasmania
20230411,Easter Tuesday,Public Holiday currently observed by certain awards/agreements and the State Public Service,Tasmania
20230425,Anzac Day,Celebrated on the 25 April each year.,Tasmania
20230612,King's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,Tasmania
20231225,Christmas Day ,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,Tasmania
20231226,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,Tasmania
20230101,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,Victoria
20230102,New Year's Day (observed),"As 1 January 2023 falls on a Saturday in 2023, the following Monday is observed as an additional public holiday.",Victoria
20230126,Australia Day,Always celebrated on 26 January,Victoria
20230313,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",Victoria
20230407,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,Victoria
20230408,Easter Saturday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,Victoria
20230409,Easter Sunday,Public Holiday as part of Easter.,Victoria
20230410,Easter Monday,Public Holiday as part of Easter.,Victoria
20230425,Anzac Day,Celebrated on the 25 April each year.,Victoria
20230612,King's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,Victoria
20230929,Friday before the AFL Grand Final,Friday before the AFL Grand Final,Victoria
20231107,Melbourne Cup,All of Victoria unless alternate local holiday has been arranged by non-metro council.,Victoria
20231225,Christmas Day ,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,Victoria
20231226,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,Victoria
20230101,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,Western Australia
20230102,New Year's Day (observed),"As 1 January 2023 falls on a Saturday in 2023, the following Monday is observed as an additional public holiday.",Western Australia
20230126,Australia Day,Always celebrated on 26 January,Western Australia
20230306,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",Western Australia
20230407,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,Western Australia
20230409,Easter Sunday,Public Holiday as part of Easter.,Western Australia
20230410,Easter Monday,Public Holiday as part of Easter.,Western Australia
20230425,Anzac Day,Celebrated on the 25 April each year.,Western Australia
20230605,Western Australia Day,Held on the first Monday in June each year and is a state holiday only.,Western Australia
20230925,King's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,Western Australia
20231225,Christmas Day ,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,Western Australia
20231226,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,Western Australia
20240101,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,Australian Capital Territory
20240126,Australia Day,Always celebrated on 26 January,Australian Capital Territory
20240311,Canberra Day,Held on the second Monday of March each year in Canberra to celebrate the naming ceremony of Australia's capital which took place on 12 March 1913.,Australian Capital Territory
20240329,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,Australian Capital Territory
20240330,Easter Saturday - the day after Good Friday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,Australian Capital Territory
20240331,Easter Sunday,Public Holiday as part of Easter.,Australian Capital Territory
20240401,Easter Monday,Public Holiday as part of Easter.,Australian Capital Territory
20240425,Anzac Day,Celebrated on the 25 April each year.,Australian Capital Territory
20240527,Reconciliation Day,Takes place on the first Monday on or after 27 May each year the anniversary of the 1967 referendum,Australian Capital Territory
20240610,Sovereign's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,Australian Capital Territory
20241007,Labour Day,Always on a Monday creating a long weekend. It celebrates the eight-hour working day a victory for workers in the mid-late 19th century.,Australian Capital Territory
20241225,Christmas Day ,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,Australian Capital Territory
20241226,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,Australian Capital Territory
20240101,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,New South Western Australiales
20240126,Australia Day,Always celebrated on 26 January,New South Western Australiales
20240329,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,New South Western Australiales
20240330,Easter Saturday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,New South Western Australiales
20240331,Easter Sunday,Public Holiday as part of Easter.,New South Western Australiales
20240401,Easter Monday,Public Holiday as part of Easter.,New South Western Australiales
20240425,Anzac Day,Celebrated on the 25 April each year.,New South Western Australiales
20240610,King's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,New South Western Australiales
20240805,Bank Holiday,"Applies to banks and certain financial institutions, per the Retail Trading Act 2008",New South Western Australiales
20241007,Labour Day,Always on a Monday creating a long weekend. It celebrates the eight-hour working day a victory for workers in the mid-late 19th century.,New South Western Australiales
20241225,Christmas Day ,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,New South Western Australiales
20241226,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,New South Western Australiales
20240101,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,Northern Territory
20240126,Australia Day,Always celebrated on 26 January,Northern Territory
20240329,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,Northern Territory
20240330,Easter Saturday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,Northern Territory
20240331,Easter Sunday,Public Holiday as part of Easter.,Northern Territory
20240401,Easter Monday,Public Holiday as part of Easter.,Northern Territory
20240425,Anzac Day,Celebrated on the 25 April each year.,Northern Territory
20240506,May Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",Northern Territory
20240610,King's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,Northern Territory
20240805,Picnic Day,"Observed on the first Monday of August each year and is clebrated with a horse race, railway picnic and other social outings",Northern Territory
20241224,Christmas Eve,Part-day holiday 7pm to midnight,Northern Territory
20241225,Christmas Day ,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,Northern Territory
20241226,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,Northern Territory
20241231,New Year's Eve,Part-day holiday 7pm to midnight,Northern Territory
20240101,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,Queensland
20240126,Australia Day,Always celebrated on 26 January,Queensland
20240329,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,Queensland
20240330,Easter Saturday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,Queensland
20240331,Easter Sunday,Public Holiday as part of Easter.,Queensland
20240401,Easter Monday,Public Holiday as part of Easter.,Queensland
20240425,Anzac Day,Celebrated on the 25 April each year.,Queensland
20240506,Labour Day,Always on a Monday creating a long weekend. It celebrates the eight-hour working day a victory for workers in the mid-late 19th century.,Queensland
20240814,Royal Queensland Show (Brisbane only),"The Royal National Agricultural (RNA) Show Day (Brisbane only) is held on the Wednesday during the RNA Show period. The RNA Show commences on the first Friday in August, unless the first Friday is prior to 5 August, then it commences on the second Friday of August.",Queensland
20241007,King’s Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,Queensland
20241224,Christmas Eve,"From 2019, the Holidays Act 1983 provides for a part-day public holiday from 6pm to midnight on Christmas Eve",Queensland
20241225,Christmas Day ,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,Queensland
20241226,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,Queensland
20240101,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,South Australia
20240126,Australia Day,Always celebrated on 26 January,South Australia
20240311,Adelaide Cup Day (subject to Proclamation),"The Holidays Act 1910 provides for the third Monday in May to be a public holiday, through the issuing of a special Proclamation by the Governor.",South Australia
20240329,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,South Australia
20240330,Easter Saturday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,South Australia
20240401,Easter Monday,Public Holiday as part of Easter.,South Australia
20240425,Anzac Day,Celebrated on the 25 April each year.,South Australia
20240610,King’s Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,South Australia
20241007,Labour Day,Always on a Monday creating a long weekend. It celebrates the eight-hour working day a victory for workers in the mid-late 19th century.,South Australia
20241224,Christmas Eve,7pm to midnight,South Australia
20241225,Christmas Day ,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,South Australia
20241226,Boxing Day / Proclamation Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,South Australia
20241231,New Year's Eve,7pm to midnight,South Australia
20240101,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,Tasmania
20240126,Australia Day,Always celebrated on 26 January,Tasmania
20240311,Eight Hours Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",Tasmania
20240329,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,Tasmania
20240401,Easter Monday,Public Holiday as part of Easter.,Tasmania
20240402,Easter Tuesday,Public Holiday currently observed by certain awards/agreements and the State Public Service,Tasmania
20240425,Anzac Day,Celebrated on the 25 April each year.,Tasmania
20240610,King's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,Tasmania
20241225,Christmas Day ,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,Tasmania
20241226,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,Tasmania
20240101,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,Victoria
20240126,Australia Day,Always celebrated on 26 January,Victoria
20240311,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",Victoria
20240329,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,Victoria
20240330,Easter Saturday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,Victoria
20240331,Easter Sunday,Public Holiday as part of Easter.,Victoria
20240401,Easter Monday,Public Holiday as part of Easter.,Victoria
20240425,Anzac Day,Celebrated on the 25 April each year.,Victoria
20240610,King's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,Victoria
20240927,Friday before the AFL Grand Final,Friday before the AFL Grand Final - Subject to AFL schedule,Victoria
20241105,Melbourne Cup,All of Victoria unless alternate local holiday has been arranged by non-metro council.,Victoria
20241225,Christmas Day ,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,Victoria
20241226,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,Victoria
20240101,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,Western Australia
20240126,Australia Day,Always celebrated on 26 January,Western Australia
20240304,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",Western Australia
20240329,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,Western Australia
20240331,Easter Sunday,Public Holiday as part of Easter.,Western Australia
20240401,Easter Monday,Public Holiday as part of Easter.,Western Australia
20240425,Anzac Day,Celebrated on the 25 April each year.,Western Australia
20240603,Western Australia Day,Held on the first Monday in June each year and is a state holiday only.,Western Australia
20240923,King's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,Western Australia
20241225,Christmas Day ,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,Western Australia
20241226,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,Western Australia
20200101,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,Australian Capital Territory
20200127,Australia Day,Always celebrated on 26 January,Australian Capital Territory
20200309,Canberra Day,Held on the second Monday of March each year in Canberra to celebrate the naming ceremony of Australia's capital which took place on 12 March 1913.,Australian Capital Territory
20200410,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,Australian Capital Territory
20200411,Easter Saturday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,Australian Capital Territory
20200412,Easter Sunday,Public Holiday as part of Easter.,Australian Capital Territory
20200413,Easter Monday,Public Holiday as part of Easter.,Australian Capital Territory
20200425,Anzac Day,Celebrated on the 25 April each year.,Australian Capital Territory
20200427,Declared Public Holiday,"Monday, 27 April 2020 has been declared a public holiday for all Canberrans by the Minister for Employment and Workplace Safety",Australian Capital Territory
20200601,Reconciliation Day,"take place on the first Monday on or after 27 May each year, the anniversary of the 1967 referendum",Australian Capital Territory
20200608,Queen's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,Australian Capital Territory
20201005,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",Australian Capital Territory
20201225,Christmas Day ,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,Australian Capital Territory
20201226,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,Australian Capital Territory
20201228,Boxing Day (additional day),Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,Australian Capital Territory
20200101,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,New South Western Australiales
20200127,Australia Day,Always celebrated on 26 January,New South Western Australiales
20200410,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,New South Western Australiales
20200411,Easter Saturday - the Saturday following Good Friday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,New South Western Australiales
20200412,Easter Sunday,Public Holiday as part of Easter.,New South Western Australiales
20200413,Easter Monday,Public Holiday as part of Easter.,New South Western Australiales
20200425,Anzac Day,Celebrated on the 25 April each year.,New South Western Australiales
20200608,Queen's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,New South Western Australiales
20200803,Bank Holiday,"Applies to banks and certain financial institutions, per theتRetail Trading Act 2008",New South Western Australiales
20201005,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",New South Western Australiales
20201225,Christmas Day ,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,New South Western Australiales
20201226,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,New South Western Australiales
20201228,Boxing Day (Additional day),Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,New South Western Australiales
20200101,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,Northern Territory
20200127,Australia Day,Always celebrated on 26 January,Northern Territory
20200410,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,Northern Territory
20200411,Easter Saturday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,Northern Territory
20200413,Easter Monday,Public Holiday as part of Easter.,Northern Territory
20200425,Anzac Day,Celebrated on the 25 April each year.,Northern Territory
20200504,May Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",Northern Territory
20200608,Queen's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,Northern Territory
20200803,Picnic Day,"Observed on the first Monday of August each year and is clebrated with a horse race, railway picnic and other social outings",Northern Territory
20201224,Christmas Eve,Part-day public holiday from 7pm-12 midnight,Northern Territory
20201225,Christmas Day,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,Northern Territory
20201228,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,Northern Territory
20201231,New Year's Eve,Part-day public holiday from 7pm-12 midnight,Northern Territory
20200101,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,Queensland
20200127,Australia Day,Always celebrated on 26 January,Queensland
20200410,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,Queensland
20200411,The day after Good Friday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,Queensland
20200412,Easter Sunday,Public Holiday as part of Easter.,Queensland
20200413,Easter Monday,Public Holiday as part of Easter.,Queensland
20200425,Anzac Day,Celebrated on the 25 April each year.,Queensland
20200504,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",Queensland
20201005,Queen's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,Queensland
20201224,Christmas Eve,"6pm to Midnight. From 2019, the Holidays Act 1983 provides for a part-day public holiday from 6pm to midnight on Christmas Eve (24 December)",Queensland
20201225,Christmas Day,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,Queensland
20201226,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,Queensland
20201228,Boxing Day (Additional day),Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,Queensland
20200101,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,South Australia
20200126,Australia Day,Always celebrated on 26 January,South Australia
20200127,Australia Day (Additional day),Always celebrated on 26 January,South Australia
20200309,Adelaide Cup Day,The Holidays Act 1910 provides for the third Monday in May to be a public holiday. ch through the issuing of a special Proclamation by the Governor.,South Australia
20200410,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,South Australia
20200411,Easter Saturday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,South Australia
20200413,Easter Monday,Public Holiday as part of Easter.,South Australia
20200425,Anzac Day,Celebrated on the 25 April each year.,South Australia
20200608,Queen's Birthday/Volunteer's Day,Celebrated on second Monday in June except in Western Australia and Queensland.,South Australia
20201005,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",South Australia
20201224,Christmas Eve,Part-day public holiday from 7pm-12 midnight,South Australia
20201225,Christmas Day,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,South Australia
20201228,Boxing/Proclamation Day ,Occurs the day after Christmas Day.,South Australia
20201231,New Year's Eve,Part-day public holiday from 7pm-12 midnight,South Australia
20200101,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,Tasmania
20200127,Australia Day,Always celebrated on 26 January,Tasmania
20200309,Eight Hours Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",Tasmania
20200410,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,Tasmania
20200413,Easter Monday,Public Holiday as part of Easter.,Tasmania
20200414,Easter Tuesday,Public Holiday currently observed by certain awards/agreements and the State Public Service,Tasmania
20200425,Anzac Day,Celebrated on the 25 April each year.,Tasmania
20200608,Queen's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,Tasmania
20201225,Christmas Day,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,Tasmania
20201228,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,Tasmania
20200101,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,Victoria
20200127,Australia Day,Always celebrated on 26 January,Victoria
20200309,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",Victoria
20200410,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,Victoria
20200411,Saturday before Easter Sunday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,Victoria
20200412,Easter Sunday,Public Holiday as part of Easter.,Victoria
20200413,Easter Monday,Public Holiday as part of Easter.,Victoria
20200425,Anzac Day,Celebrated on the 25 April each year.,Victoria
20200608,Queen's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,Victoria
20201023,Friday before the AFL grand final,Always falls on Friday before the Grand Final,Victoria
20201103,Melbourne cup day,All of Victoria unless alternate local holiday has been arranged by non-metro council.,Victoria
20201225,Christmas Day,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,Victoria
20201226,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,Victoria
20201228,Boxing Day (Additional day),Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,Victoria
20200101,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,Western Australia
20200127,Australia Day,Always celebrated on 26 January,Western Australia
20200302,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",Western Australia
20200410,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,Western Australia
20200413,Easter Monday,Public Holiday as part of Easter.,Western Australia
20200425,Anzac Day,Celebrated on the 25 April each year.,Western Australia
20200427,Anzac Day,Celebrated on the 25 April each year.,Western Australia
20200601,Western Australia Day,Held on the first Monday in June each year and is a state holiday only.,Western Australia
20200928,Queen's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,Western Australia
20201225,Christmas Day,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,Western Australia
20201226,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,Western Australia
20201228,Boxing Day (Additional day),Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,Western Australia
