Order Number,Order Status,Order Date,Postcode (Billing),City (Shipping),State Code (Shipping),Payment Method Title,Cart Discount Amount,Shipping Method Title,Order Refund Amount,Order Total Amount,Order Total Tax Amount,total items ,Discount Amount,Discount Amount Tax
95539,Processing,6/12/2023,2111,Sydney,NSW,Amex credit card,0,Local Pick-Up Only,0,649,59,1,,
95537,Processing,6/12/2023,4209,Pimpama,QLD,Mastercard debit card,0,Flat rate,0,22.5,1.18,1,,
95536,Processing,6/12/2023,3169,Clayton South,VIC,PayPal / Credit Card / Debit Card,0,Free Shipping over $150,0,165.96,15.1,3,,
95535,Processing,6/12/2023,2229,Dolans Bay,NSW,PayPal / Credit Card / Debit Card,4.545455,Flat rate,0,94.45,7.72,1,4.55,0.45
95534,Processing,6/12/2023,2747,Werrington County,NSW,PayPal / Credit Card / Debit Card,198.709091,Flat rate,0,303.96,26.77,9,198.71,19.87
95531,Completed,6/12/2023,2444,PORT MACQUARIE;NSW,NSW,Visa debit card,0,Free Shipping over $150,0,375,34.09,1,,
95530,Processing,6/12/2023,2155,North Kellyville,NSW,Afterpay,4.545455,Local Pick-Up Only,0,349.81,31.8,8,4.55,0.45
95528,Completed,5/12/2023,2612,Braddon,ACT,Visa debit card,0,Flat rate,0,71.38,5.62,4,,
95527,Completed,5/12/2023,6102,Bentley,WA,Mastercard debit card,0,Flat rate,0,129.5,10.91,1,,
95525,Processing,5/12/2023,4067,Saint Lucia,QLD,Mastercard credit card,0,Free Shipping over $150,0,355.95,32.36,5,,
95478,Completed,5/12/2023,3331,Bannockburn,VIC,Mastercard debit card,0,Flat rate,0,42.48,3,1,,
95470,Completed,5/12/2023,6065,currambine,WA,PayPal / Credit Card / Debit Card,0,Free Shipping over $150,0,250.75,22.81,6,,
95469,Completed,4/12/2023,6084,Bullsbrook,WA,PayPal / Credit Card / Debit Card,0,Free Shipping over $150,0,310.99,28.28,2,,
95468,Completed,4/12/2023,4209,Gold Coast,QLD,"Zip now, pay later",0,Flat rate,0,365,29.55,1,,
95467,Completed,4/12/2023,4209,Upper Coomera,QLD,Mastercard debit card,0,Flat rate,0,128.5,10.82,1,,
95449,Completed,4/12/2023,2195,Wiley Park,NSW,humm,0,Free Shipping over $150,0,610,55.45,1,,
95448,Completed,4/12/2023,3195,Parkdale,VIC,Mastercard debit card,2.25,Free Shipping over $150,0,211.44,19.22,3,2.25,0.23
95444,Completed,4/12/2023,4556,Sippy Downs,QLD,Mastercard credit card,39.45,Flat rate,0,49.3,3.62,6,39.45,3.95
95439,Processing,3/12/2023,4034,Griffin,QLD,Mastercard debit card,0,Flat rate,0,39.44,2.72,1,,
95437,Completed,3/12/2023,2073,Pymble,NSW,Amex credit card,0,Flat rate,0,71.47,5.63,2,,
95436,Completed,3/12/2023,2155,North Kellyville,NSW,Afterpay,4.545455,Local Pick-Up Only,0,140,12.73,1,4.55,0.45
95435,Completed,3/12/2023,4878,Holloways Beach,QLD,PayPal / Credit Card / Debit Card,0,Flat rate,0,47.48,3.46,2,,
95434,Completed,2/12/2023,2560,St Helens Park,NSW,"Zip now, pay later",0,Free Shipping over $150,0,162,14.72,5,,
95431,Completed,2/12/2023,3939,FINGAL,VIC,PayPal / Credit Card / Debit Card,0,Flat rate,0,139.5,11.81,2,,
95430,Completed,2/12/2023,3336,Aintree,VIC,Visa credit card,0,Free Shipping over $150,0,186,16.91,1,,
95429,Processing,2/12/2023,2234,Granville,NSW,Visa credit card,0,Local Pick-Up Only,0,499,45.36,2,,
95428,Processing,2/12/2023,2540,Sanctuary point,NSW,PayPal / Credit Card / Debit Card,0,Free Shipping over $150,0,223,20.27,2,,
95427,Completed,2/12/2023,2517,WOONONA,NSW,Mastercard credit card,4.55,Free Shipping over $150,0,390.98,35.55,3,4.55,0.45
95424,Completed,1/12/2023,2318,Salt Ash,NSW,PayPal / Credit Card / Debit Card,0,Flat rate,0,108.5,9,1,,
95423,Completed,1/12/2023,0800,darwin,NT,Visa debit card,0,Flat rate,0,98.5,8.09,1,,
95422,Completed,1/12/2023,3218,GEELONG WEST,VIC,PayPal / Credit Card / Debit Card,0,Free Shipping over $150,0,293.63,26.7,5,,
95421,Processing,30/11/2023,2571,Balmoral Village,NSW,PayPal / Credit Card / Debit Card,0,Free Shipping over $150,0,171.62,15.6,5,,
95420,Completed,30/11/2023,2518,Corrimal,NSW,Visa debit card,4.54,Flat rate,0,99.5,8.18,1,4.55,0.45
95419,Pending payment,30/11/2023,4560,NAMBOUR,QLD,humm,0,Flat rate,0,329,26.27,1,,
95418,Completed,30/11/2023,3023,Williams Landing,VIC,Mastercard debit card,0,Free Shipping over $150,0,572,52,1,,
95416,Completed,30/11/2023,3840,Morwell,VIC,PayPal / Credit Card / Debit Card,0,Flat rate,0,59.5,4.55,1,,
95415,Completed,30/11/2023,3551,EPSOM,VIC,Mastercard debit card,0,Local Pick-Up Only,0,65,5.91,1,,
95413,Completed,30/11/2023,3161,Caulfield North,VIC,PayPal / Credit Card / Debit Card,0,Flat rate,0,59.5,4.55,1,,
95412,Completed,30/11/2023,4556,Sippy Downs,QLD,Mastercard credit card,0,Flat rate,0,1136.4,102.45,13,,
95411,Completed,30/11/2023,3016,Williamstown,VIC,PayPal / Credit Card / Debit Card,0,Flat rate,0,34.49,2.27,1,,
95410,Completed,29/11/2023,2285,Macquarie Hills,NSW,PayPal / Credit Card / Debit Card,0,Free Shipping over $150,0,156.94,14.27,2,,
95409,Completed,29/11/2023,2776,Faulconbridge,NSW,PayPal / Credit Card / Debit Card,0,Flat rate,0,98.5,8.09,1,,
95408,Completed,29/11/2023,2144,Auburn,NSW,Afterpay,4.545455,Local Pick-Up Only,0,11.5,1.05,1,4.55,0.45
95009,Completed,29/11/2023,5155,Bridgewater,SA,Afterpay,4.54,Free Shipping over $150,0,356,32.36,2,4.55,0.45
95008,Completed,29/11/2023,4500,Bray Park,QLD,Visa credit card,0,Free Shipping over $150,0,308,28,1,,
95007,Completed,29/11/2023,3058,Coburg,VIC,"Zip now, pay later",4.618182,Flat rate,0,26.42,1.54,1,4.62,0.46
95005,Completed,29/11/2023,7010,GLENORCHY,TAS,PayPal / Credit Card / Debit Card,0,Flat rate,0,108.45,9,2,,
95004,Completed,28/11/2023,3950,Korumburra,VIC,PayPal / Credit Card / Debit Card,0,Flat rate,0,49.5,3.63,2,,
95003,Completed,28/11/2023,2017,Waterloo,NSW,Mastercard debit card,23.618182,Free Shipping over $150,0,169.02,15.37,1,4.55::19.07,0.45::1.91
95000,Completed,28/11/2023,2800,Orange,NSW,Afterpay,0,Flat rate,0,278.97,21.72,4,,
94906,Completed,28/11/2023,5085,Northgate,SA,Afterpay,0,Flat rate,0,59.38,4.54,2,,
94904,Processing,28/11/2023,2154,castle hill,NSW,Mastercard credit card,0,Flat rate,0,127.08,10.69,7,,
94884,Completed,28/11/2023,4216,PARADISE POINT,QLD,Mastercard credit card,0,Flat rate,0,158.5,13.55,1,,
94883,Completed,28/11/2023,2085,Belrose,NSW,Visa credit card,0,Flat rate,9.5,29.4,1.81,1,,
94815,Completed,28/11/2023,0820,Ludmilla,NT,PayPal / Credit Card / Debit Card,5.12,Free Shipping over $150,0,420.06,38.19,2,5.12,0.51
94814,Completed,28/11/2023,6155,Canningvale,WA,Mastercard credit card,0,Flat rate,0,40.99,2.86,1,,
94812,Completed,27/11/2023,2148,KINGS PARK,NSW,PayPal / Credit Card / Debit Card,4.55,Local Pick-Up Only,0,8.48,0.77,1,4.55,0.45
94811,Completed,27/11/2023,2480,Goonellabah,NSW,PayPal / Credit Card / Debit Card,0,Free Shipping over $150,0,1015.2,92.29,2,,
94810,Completed,27/11/2023,4877,Port Douglas,QLD,PayPal / Credit Card / Debit Card,0,Free Shipping over $150,0,688.5,62.59,1,,
94809,Completed,27/11/2023,2776,Faulconbridge,NSW,Mastercard credit card,0,Flat rate,0,98.6,8.1,1,,
94808,Completed,27/11/2023,2795,Llanarth,NSW,Afterpay,0,Free Shipping over $150,35.06,151.1,13.75,5,,
94807,Completed,27/11/2023,2040,Leichhardt,NSW,Mastercard credit card,0,Flat rate,0,49.98,3.68,1,,
94806,Completed,27/11/2023,2540,Vincentia,NSW,Afterpay,0,Flat rate,0,92.72,7.56,4,,
94805,Completed,27/11/2023,3127,Surrey hills,VIC,Afterpay,5.87,Flat rate,0,327.54,26.14,2,5.86,0.59
94803,Completed,27/11/2023,3021,St Albans,VIC,Visa debit card,0,Free Shipping over $150,0,567.81,51.62,1,,
94742,Completed,27/11/2023,2913,PALMERSTON,ACT,PayPal / Credit Card / Debit Card,0,Flat rate,0,59,4.5,1,,
94741,Completed,27/11/2023,2565,Ingleburn,NSW,Mastercard debit card,0,Flat rate,45,54.5,4.09,2,,
94739,Completed,27/11/2023,2212,Revesby,NSW,PayPal / Credit Card / Debit Card,0,Flat rate,0,939.1,81.74,1,,
94738,Completed,27/11/2023,2250,Narara,NSW,PayPal / Credit Card / Debit Card,4.54,Free Shipping over $150,0,156.1,14.19,1,4.55,0.45
94737,Completed,27/11/2023,2747,WERRINGTON DOWNS,NSW,Mastercard debit card,0,Local Pick-Up Only,0,87.2,7.93,1,,
94734,Completed,27/11/2023,2611,Fisher,ACT,Amex credit card,4.545455,Local Pick-Up Only,0,1363,123.91,1,4.55,0.45
94733,Completed,27/11/2023,4879,Trinity Beach,QLD,Mastercard debit card,0,Flat rate,0,88.66,7.2,1,,
94669,Completed,27/11/2023,2079,MOUNT COLAH,NSW,PayPal / Credit Card / Debit Card,0,Flat rate,0,27.47,1.63,2,,
94654,Completed,27/11/2023,2148,Blacktown,NSW,PayPal / Credit Card / Debit Card,0,Local Pick-Up Only,0,73.18,6.65,5,,
94653,Completed,27/11/2023,2285,Cardiff Heights,NSW,Mastercard credit card,0,Free Shipping over $150,0,540,49.09,1,,
94652,Completed,27/11/2023,2155,Kellyville,NSW,Afterpay,0,Local Pick-Up Only,0,170.98,15.54,1,,
94651,Completed,27/11/2023,2232,Sutherland,NSW,Afterpay,0,Local Pick-Up Only,0,449.1,40.82,2,,
94650,Completed,27/11/2023,2770,Mount Druitt,NSW,Visa debit card,4.254545,Local Pick-Up Only,0,40.24,3.66,2,4.25,0.43
94648,Completed,27/11/2023,2912,Gunghalin,ACT,Afterpay,0,Flat rate,0,111.18,9.24,1,,
94632,Completed,26/11/2023,7010,Montrose,TAS,Mastercard debit card,0,Free Shipping over $150,0,156.42,14.21,5,,
94631,Completed,26/11/2023,3037,Hillside,VIC,Mastercard debit card,0,Free Shipping over $150,0,1481.4,134.67,2,,
94630,Completed,26/11/2023,2147,seven hills,NSW,Visa debit card,0,Local Pick-Up Only,0,143.1,13.01,1,,
94629,Completed,26/11/2023,2250,Narara,NSW,Visa credit card,0,Flat rate,0,49.1,3.6,2,,
94626,Completed,26/11/2023,2769,The ponds,NSW,Visa credit card,0,Local Pick-Up Only,0,349.2,31.75,4,,
94625,Completed,26/11/2023,2259,Alison,NSW,Mastercard debit card,0,Local Pick-Up Only,0,1222.2,111.11,1,,
94623,Completed,26/11/2023,5039,Clarence Gardens,SA,Mastercard credit card,4.590909,Free Shipping over $150,0,182.59,16.6,5,4.59,0.46
94619,Completed,26/11/2023,2157,Turramurra,NSW,PayPal / Credit Card / Debit Card,0,Free Shipping over $150,0,374.67,34.06,5,,
94618,Completed,26/11/2023,4879,Trinity Beach,QLD,Visa debit card,0,Free Shipping over $150,0,359.1,32.65,1,,
94616,Completed,26/11/2023,3207,Port Melbourne,VIC,Visa credit card,0,Flat rate,0,95.83,7.85,1,,
94615,Completed,26/11/2023,3216,Highton,VIC,PayPal / Credit Card / Debit Card,4.54,Flat rate,0,275.23,21.38,3,4.55,0.45
94613,Completed,26/11/2023,6031,Carramar,WA,Mastercard debit card,15.77,Flat rate,0,1436.53,126.96,2,4.55::11.23,0.45::1.12
94612,Completed,26/11/2023,3139,Seville,VIC,Afterpay,0,Flat rate,0,54.41,4.08,1,,
94610,Completed,26/11/2023,3127,Surrey hills,VIC,Afterpay,0,Flat rate,0,246.4,18.76,1,,
94609,Completed,26/11/2023,3162,Caulfield South,VIC,PayPal / Credit Card / Debit Card,0,Free Shipping over $150,0,762.3,69.3,2,,
94607,Completed,26/11/2023,4701,Frenchville,QLD,Afterpay,0,Flat rate,0,68.87,5.4,1,,
94606,Completed,26/11/2023,2534,Gerroa,NSW,Visa credit card,0,Flat rate,0,332.5,26.59,1,,
94605,Completed,26/11/2023,3073,Reservoir,VIC,humm,0,Free Shipping over $150,0,153.36,13.95,7,,
94603,Processing,26/11/2023,2200,Bankstown,NSW,PayPal / Credit Card / Debit Card,0,Free Shipping over $150,0,298.75,27.16,2,,
94602,Completed,26/11/2023,2114,West Ryde,NSW,PayPal / Credit Card / Debit Card,0,Flat rate,0,81.4,6.54,1,,
94601,Completed,26/11/2023,3437,Gisborne,VIC,PayPal / Credit Card / Debit Card,0,Free Shipping over $150,0,386.1,35.1,3,,
94600,Completed,26/11/2023,3250,COLAC,VIC,PayPal / Credit Card / Debit Card,0,Free Shipping over $150,0,197.06,17.91,2,,
94599,Completed,26/11/2023,2145,Greystanes,NSW,Visa credit card,0,Local Pick-Up Only,0,60.3,5.48,1,,
94598,Completed,26/11/2023,3936,Dromana,VIC,Afterpay,0,Flat rate,0,32.9,2.13,1,,
94597,Completed,26/11/2023,2800,Orange,NSW,Afterpay,14.12,Local Pick-Up Only,0,149.17,13.56,2,14.12,1.41
94595,Completed,25/11/2023,5251,Mount Barker,SA,Visa credit card,4.55,Free Shipping over $150,0,282.1,25.65,4,4.55,0.45
94594,Completed,25/11/2023,4802,Jubilee Pocket,QLD,Mastercard credit card,0,Free Shipping over $150,0,849.55,77.23,5,,
94593,Completed,25/11/2023,2170,Prestons,NSW,Mastercard credit card,0,Free Shipping over $150,0,267.19,24.29,4,,
94592,Completed,25/11/2023,3085,YALLAMBIE,VIC,PayPal / Credit Card / Debit Card,0,Flat rate,0,72.49,5.73,1,,
94591,Completed,25/11/2023,2155,KELLYVILLE,NSW,PayPal / Credit Card / Debit Card,4.55,Free Shipping over $150,0,209.2,19.02,1,4.55,0.45
94590,Completed,25/11/2023,2234,Menai,NSW,Visa credit card,0,Flat rate,0,39.18,2.7,1,,
94589,Completed,25/11/2023,2173,Wattle Grove,NSW,Amex credit card,0.436364,Local Pick-Up Only,0,94.02,8.55,2,0.44,0.04
94587,Completed,25/11/2023,6066,BALLAJURA,WA,PayPal / Credit Card / Debit Card,0,Free Shipping over $150,0,170.1,15.46,2,,
94585,Completed,25/11/2023,2085,Belrose,NSW,Visa credit card,0,Flat rate,0,48.15,3.51,2,,
94584,Completed,25/11/2023,2042,Turramurra,NSW,Visa credit card,0,Local Pick-Up Only,0,675,61.36,2,,
94583,Completed,25/11/2023,2125,West PENNANT HILLS,NSW,Amex credit card,0,Local Pick-Up Only,0,791.98,72,1,,
94582,Completed,25/11/2023,6008,Shenton Park,WA,Mastercard debit card,0,Free Shipping over $150,0,171,15.55,1,,
94581,Completed,25/11/2023,3084,HEIDELBERG,VIC,Visa credit card,0,Flat rate,0,25.66,1.47,1,,
94580,Completed,25/11/2023,2170,Prestons,NSW,Mastercard debit card,0,Free Shipping over $150,0,212.26,19.29,2,,
94579,Completed,25/11/2023,3810,Pakenham,VIC,Visa credit card,0,Free Shipping over $150,0,183.49,16.68,1,,
94578,Completed,25/11/2023,2340,CALALA,NSW,PayPal / Credit Card / Debit Card,0,Flat rate,0,23.88,1.31,1,,
94577,Completed,25/11/2023,7010,GLENORCHY,TAS,PayPal / Credit Card / Debit Card,4.55,Flat rate,0,103.45,8.54,1,4.55,0.45
94576,Completed,25/11/2023,2800,Orange,NSW,humm,31.71,Local Pick-Up Only,0,559.12,50.83,1,31.71,3.17
94574,Completed,25/11/2023,2115,Ermington,NSW,Afterpay,0,Flat rate,0,249.54,21.82,3,,
94572,Completed,25/11/2023,2155,Kellyville,NSW,Visa debit card,0,Local Pick-Up Only,0,134.1,12.19,1,,
94565,Completed,25/11/2023,2768,GLENWOOD,NSW,Mastercard credit card,0,Free Shipping over $150,0,242.08,22,5,,
94564,Completed,25/11/2023,3810,Pakenham,VIC,PayPal / Credit Card / Debit Card,0,Free Shipping over $150,0,162,14.73,1,,
94563,Completed,25/11/2023,2315,Nelson Bay,NSW,PayPal / Credit Card / Debit Card,0,Flat rate,0,792.25,68.38,8,,
94562,Completed,25/11/2023,2533,Kiama Heights,NSW,PayPal / Credit Card / Debit Card,0,Flat rate,0,98.6,8.1,1,,
94561,Completed,25/11/2023,2126,cherrybrook,NSW,"Zip now, pay later",0,Local Pick-Up Only,0,233.1,21.19,1,,
94560,Completed,25/11/2023,2251,MacMasters Beach,NSW,PayPal / Credit Card / Debit Card,6.23,Free Shipping over $150,0,173.99,15.82,4,6.23,0.62
94558,Completed,25/11/2023,4879,Trinity Beach,QLD,Visa debit card,1.71,Flat rate,0,87.72,7.11,1,1.71,0.17
94557,Completed,24/11/2023,2153,Baulkham Hills,NSW,Visa debit card,0,Local Pick-Up Only,0,26.05,2.36,2,,
94555,Completed,24/11/2023,2145,Greystanes,NSW,Mastercard credit card,0,Local Pick-Up Only,0,327.15,29.74,4,,
94540,Completed,24/11/2023,2179,Leppington,NSW,"Zip now, pay later",0,Free Shipping over $150,0,710.08,64.55,1,,
94538,Completed,24/11/2023,2747,Jordan Springs,NSW,PayPal / Credit Card / Debit Card,0,Local Pick-Up Only,0,116.1,10.55,1,,
94535,Completed,24/11/2023,4305,Woodend,QLD,Visa debit card,4.54,Free Shipping over $150,0,449.5,40.86,1,4.55,0.45
94534,Completed,24/11/2023,7021,Lauderdale,TAS,PayPal / Credit Card / Debit Card,0,Free Shipping over $150,0,334.8,30.44,1,,
94533,Completed,24/11/2023,2750,Penrith,NSW,"Zip now, pay later",4.545455,Local Pick-Up Only,0,240.69,21.88,3,4.55,0.45
94531,Completed,24/11/2023,2285,Cardiff,NSW,Visa credit card,0,Free Shipping over $150,0,173.66,15.78,5,,
94528,Completed,24/11/2023,4006,Newstead,QLD,PayPal / Credit Card / Debit Card,0,Flat rate,0,98.12,8.07,5,,
94527,Completed,24/11/2023,2145,Greystanes,NSW,Afterpay,0,Local Pick-Up Only,0,351,31.91,1,,
94526,Completed,24/11/2023,4101,South brisbane,QLD,Mastercard debit card,0,Free Shipping over $150,0,454.5,41.32,1,,
94525,Completed,24/11/2023,2800,Orange,NSW,Visa debit card,0,Free Shipping over $150,0,850.5,77.32,1,,
94524,Completed,24/11/2023,6018,Innaloo,WA,Visa credit card,0,Free Shipping over $150,0,2384.1,216.74,1,,
94522,Completed,24/11/2023,2099,DEE WHY,NSW,Mastercard credit card,0,Local Pick-Up Only,33,873,79.36,1,,
94521,Completed,24/11/2023,2035,Maroubra,NSW,PayPal / Credit Card / Debit Card,3.98,Free Shipping over $150,0,161.13,14.65,2,3.98,0.4
94519,Completed,24/11/2023,2234,ILLAWONG,NSW,PayPal / Credit Card / Debit Card,0,Free Shipping over $150,0,367.2,33.38,1,,
94518,Completed,24/11/2023,2199,Yagoona,NSW,PayPal / Credit Card / Debit Card,0,Free Shipping over $150,0,229.42,20.86,6,,
94517,Completed,24/11/2023,6317,Katanning,WA,PayPal / Credit Card / Debit Card,0,Flat rate,0,108.5,9,1,,
94516,Completed,24/11/2023,2155,Kellyville,NSW,Mastercard credit card,0,Local Pick-Up Only,0,124.2,11.29,1,,
94514,Completed,24/11/2023,2153,Baulkham Hills,NSW,Visa debit card,0,Local Pick-Up Only,0,97.8,8.89,7,,
94513,Completed,24/11/2023,6271,Capel,WA,Amex credit card,0,Flat rate,0,347.58,27.95,3,,
94512,Completed,24/11/2023,2515,Austinmer,NSW,PayPal / Credit Card / Debit Card,0,Local Pick-Up Only,0,881.1,80.1,1,,
94511,Completed,24/11/2023,4817,Alice River,QLD,Mastercard credit card,2.13,Free Shipping over $150,0,727.93,66.16,6,2.14,0.21
94509,Completed,24/11/2023,2444,Boomi,NSW,PayPal / Credit Card / Debit Card,0,Flat rate,0,332.5,26.59,1,,
94508,Completed,24/11/2023,2515,Austinmer,NSW,PayPal / Credit Card / Debit Card,0,Flat rate,0,1056.05,92.37,2,,
94507,Completed,24/11/2023,6107,Cannington,WA,Amex credit card,0,Free Shipping over $150,0,196.08,17.83,5,,
94505,Completed,24/11/2023,2611,rivett,ACT,PayPal / Credit Card / Debit Card,0,Free Shipping over $150,0,245.7,22.34,2,,
94504,Completed,24/11/2023,3021,Kings park,VIC,Afterpay,0,Flat rate,0,45.5,3.27,1,,
94503,Completed,24/11/2023,2204,Marrickville,NSW,PayPal / Credit Card / Debit Card,3.43,Free Shipping over $150,0,151.04,13.74,6,3.41,0.34
94500,Completed,24/11/2023,3216,HIGHTON,VIC,Visa credit card,0,Flat rate,0,48.19,3.52,1,,
94499,Completed,24/11/2023,4505,Burpengary east,QLD,PayPal / Credit Card / Debit Card,0,Flat rate,0,45.5,3.27,1,,
94498,Completed,24/11/2023,6155,Willetton,WA,Mastercard debit card,0,Free Shipping over $150,0,274.85,24.98,4,,
94497,Completed,24/11/2023,3437,GISBORNE,VIC,PayPal / Credit Card / Debit Card,0,Free Shipping over $150,0,624.49,56.77,2,,
94496,Completed,24/11/2023,2452,TOORMINA,NSW,Mastercard debit card,0,Free Shipping over $150,0,306,27.82,1,,
94495,Completed,24/11/2023,2260,Terrigal,NSW,Afterpay,0,Local Pick-Up Only,0,274.5,24.96,2,,
94494,Completed,24/11/2023,2148,Blacktown,NSW,PayPal / Credit Card / Debit Card,0,Local Pick-Up Only,0,117,10.64,1,,
94493,Completed,24/11/2023,5253,MURRAY BRIDGE,SA,Visa debit card,0,Free Shipping over $150,0,718.2,65.29,1,,
94492,Completed,24/11/2023,4070,Moggill,QLD,Visa credit card,0,Flat rate,0,30.17,1.88,2,,
94490,Completed,24/11/2023,3803,Hallam,VIC,PayPal / Credit Card / Debit Card,0,Flat rate,0,99.48,8.18,1,,
94489,Completed,24/11/2023,6031,Carramar,WA,Mastercard debit card,0,Free Shipping over $150,0,494.1,44.92,1,,
94488,Completed,23/11/2023,4710,Zilzie,QLD,Afterpay,14.89,Free Shipping over $150,0,604.27,54.93,1,14.89,1.49
94486,Completed,23/11/2023,6530,Wandina,WA,PayPal / Credit Card / Debit Card,0.96,Free Shipping over $150,0,353.79,32.17,7,0.95,0.1
94482,Completed,23/11/2023,3089,Diamond Creek,VIC,PayPal / Credit Card / Debit Card,0,Free Shipping over $150,0,1095.3,99.57,3,,
94479,Completed,23/11/2023,2754,North Richmond,NSW,PayPal / Credit Card / Debit Card,4.545455,Local Pick-Up Only,0,342.49,31.14,1,4.55,0.45
94478,Completed,23/11/2023,4670,Bundaberg East,QLD,PayPal / Credit Card / Debit Card,15.14,Free Shipping over $150,0,226.34,20.58,2,15.14,1.51
94474,Completed,23/11/2023,2306,Windale,NSW,Visa debit card,0,Free Shipping over $150,0,404.1,36.74,1,,
94473,Completed,23/11/2023,2141,Lidcombe,NSW,PayPal / Credit Card / Debit Card,17.13,Local Pick-Up Only,0,229.48,20.86,1,17.14,1.71
94472,Completed,23/11/2023,3201,Carrum Downs,VIC,Mastercard debit card,0,Flat rate,0,35.6,2.37,1,,
94470,Completed,23/11/2023,2754,NORTH RICHMOND,NSW,Afterpay,0,Local Pick-Up Only,0,443.02,40.26,8,,
94468,Completed,23/11/2023,2320,Rutherford,NSW,PayPal / Credit Card / Debit Card,0,Flat rate,0,45.32,3.26,1,,
94467,Completed,23/11/2023,2762,Schofields,NSW,Afterpay,4.545455,Local Pick-Up Only,0,102.1,9.28,1,4.55,0.45
94464,Completed,23/11/2023,6076,Lesmurdie,WA,Visa credit card,0,Flat rate,0,40.08,2.78,1,,
94457,Completed,23/11/2023,3179,Scoresby,VIC,Afterpay,0,Flat rate,0,54.47,4.09,1,,
94452,Completed,23/11/2023,2179,Austral,NSW,Afterpay,0,Local Pick-Up Only,0,602.1,54.74,1,,
94450,Completed,23/11/2023,3124,Camberwell,VIC,Mastercard debit card,0,Flat rate,0,40.94,2.86,4,,
94449,Completed,23/11/2023,2137,Breakfast Point,NSW,Mastercard credit card,0,Local Pick-Up Only,0,378,34.36,1,,
94448,Completed,23/11/2023,4702,GRACEMERE,QLD,Afterpay,0,Free Shipping over $150,0,277.2,25.2,1,,
94447,Completed,23/11/2023,2763,Quakers Hill,NSW,PayPal / Credit Card / Debit Card,0,Local Pick-Up Only,0,145.8,13.25,2,,
94442,Completed,23/11/2023,2118,CARLINGFORD,NSW,Mastercard credit card,0,Free Shipping over $150,0,176.82,16.08,3,,
94441,Completed,23/11/2023,2016,Moss Vale,NSW,Mastercard credit card,0,Free Shipping over $150,0,710.1,64.55,1,,
94440,Completed,23/11/2023,2557,Gregory Hills,NSW,PayPal / Credit Card / Debit Card,4.55,Free Shipping over $150,0,535,48.64,1,4.55,0.45
94439,Completed,23/11/2023,2250,Wyoming,NSW,PayPal / Credit Card / Debit Card,0,Flat rate,0,458.81,38.06,6,,
94438,Completed,22/11/2023,6163,Spearwood,WA,Mastercard debit card,0,Free Shipping over $150,0,187.2,17.02,2,,
94437,Completed,22/11/2023,6004,EAST PERTH,WA,PayPal / Credit Card / Debit Card,0,Flat rate,0,23.87,1.31,1,,
94436,Completed,22/11/2023,2508,Helensburgh,NSW,PayPal / Credit Card / Debit Card,0,Flat rate,0,50,3.68,1,,
94435,Completed,22/11/2023,2530,Wongawilli,NSW,PayPal / Credit Card / Debit Card,0,Flat rate,0,57.48,4.36,2,,
94434,Completed,22/11/2023,4670,Bundaberg East,QLD,PayPal / Credit Card / Debit Card,0,Free Shipping over $150,0,445.23,40.47,11,,
94433,Completed,22/11/2023,2527,Calderwood,NSW,PayPal / Credit Card / Debit Card,0,Free Shipping over $150,103.98,207.97,18.91,1,,
94432,Completed,22/11/2023,2527,Calderwood,NSW,PayPal / Credit Card / Debit Card,0,Flat rate,0,113.48,9.45,1,,
94430,Completed,22/11/2023,2795,Llanarth,NSW,PayPal / Credit Card / Debit Card,0,Flat rate,0,39.2,2.7,1,,
94429,Completed,22/11/2023,4560,Burnside,QLD,Visa debit card,0,Free Shipping over $150,0,377.1,34.28,1,,
94428,Completed,22/11/2023,2067,Chatswood,NSW,PayPal / Credit Card / Debit Card,0,Flat rate,0,33.8,2.21,1,,
94419,Completed,22/11/2023,2770,mt druitt,NSW,PayPal / Credit Card / Debit Card,4.55,Local Pick-Up Only,0,57.08,5.19,1,4.55,0.45
94411,Processing,22/11/2023,2795,Llanarth,NSW,"Zip now, pay later",12.936364,Free Shipping over $150,0,145.97,13.27,1,12.94,1.29
94408,Completed,22/11/2023,2121,Epping,NSW,Visa debit card,0,Free Shipping over $150,0,582.25,52.93,3,,
94407,Completed,22/11/2023,5290,Mount Gambier,SA,Visa debit card,0,Flat rate,0,131,11.05,1,,
94404,Completed,22/11/2023,2795,Llanarth,NSW,"Zip now, pay later",33.27,Free Shipping over $150,55.47,514.11,46.73,2,33.27,3.33
94402,Completed,22/11/2023,2264,Morisset,NSW,PayPal / Credit Card / Debit Card,0,Flat rate,0,61.7,4.75,2,,
94400,Completed,22/11/2023,2250,Narara,NSW,PayPal / Credit Card / Debit Card,0,Free Shipping over $150,0,343.76,31.24,6,,
94397,Completed,22/11/2023,2176,St Johns Park,NSW,PayPal / Credit Card / Debit Card,0,Local Pick-Up Only,0,348.8,31.7,2,,
94373,Completed,22/11/2023,2325,Bellbird Heights,NSW,Afterpay,0,Free Shipping over $150,0,220.54,20.06,8,,
94372,Completed,22/11/2023,2199,Yagoona,NSW,PayPal / Credit Card / Debit Card,0,Local Pick-Up Only,0,142.97,13,1,,
94371,Completed,22/11/2023,7277,Grindelwald,TAS,Afterpay,5.82,Flat rate,0,139.9,11.85,3,5.82,0.58
